Date : 2023-12-22 14:46:23
Directory : c:\Users\antho\Desktop\nextjs-social-app
Total : 232 files,  11400 codes, 272 comments, 1217 blanks, all 12889 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\antho\Desktop\nextjs-social-app\src\components\Icon.tsx                                                                 | TypeScript JSX     |         20 |          0 |          4 |         24 |
| c:\Users\antho\Desktop\nextjs-social-app\src\components\Image.tsx                                                                | TypeScript JSX     |         20 |          0 |          4 |         24 |
| c:\Users\antho\Desktop\nextjs-social-app\src\components\ListItem.tsx                                                             | TypeScript JSX     |         36 |          0 |          6 |         42 |
| c:\Users\antho\Desktop\nextjs-social-app\src\components\LoadingUI.tsx                                                            | TypeScript JSX     |         13 |          0 |          2 |         15 |
| c:\Users\antho\Desktop\nextjs-social-app\src\components\Modal.tsx                                                                | TypeScript JSX     |         65 |          0 |          9 |         74 |
| c:\Users\antho\Desktop\nextjs-social-app\src\components\PostAction.tsx                                                           | TypeScript JSX     |         37 |          0 |          5 |         42 |
| c:\Users\antho\Desktop\nextjs-social-app\src\components\PostActionButton.tsx                                                     | TypeScript JSX     |         16 |          0 |          4 |         20 |
| c:\Users\antho\Desktop\nextjs-social-app\src\components\Searchbar.tsx                                                            | TypeScript JSX     |         32 |          0 |          4 |         36 |
| c:\Users\antho\Desktop\nextjs-social-app\src\components\Tab.tsx                                                                  | TypeScript JSX     |         24 |          0 |          4 |         28 |
| c:\Users\antho\Desktop\nextjs-social-app\src\components\TextField.tsx                                                            | TypeScript JSX     |         31 |          0 |          5 |         36 |
| c:\Users\antho\Desktop\nextjs-social-app\src\components\Video.tsx                                                                | TypeScript JSX     |         27 |          0 |          6 |         33 |
| c:\Users\antho\Desktop\nextjs-social-app\src\components\VideoControls.tsx                                                        | TypeScript JSX     |        145 |          0 |          9 |        154 |
| c:\Users\antho\Desktop\nextjs-social-app\src\hooks\useOneTapSignin.ts                                                            | TypeScript         |         57 |          5 |          9 |         71 |
| c:\Users\antho\Desktop\nextjs-social-app\src\hooks\useToggleLikeToPost.ts                                                        | TypeScript         |         27 |          0 |          6 |         33 |
| c:\Users\antho\Desktop\nextjs-social-app\src\layout\ChatBubble.tsx                                                               | TypeScript JSX     |         29 |          0 |          5 |         34 |
| c:\Users\antho\Desktop\nextjs-social-app\src\layout\ChatDetail.tsx                                                               | TypeScript JSX     |        127 |          0 |          6 |        133 |
| c:\Users\antho\Desktop\nextjs-social-app\src\layout\ChatList.tsx                                                                 | TypeScript JSX     |         56 |          0 |          5 |         61 |
| c:\Users\antho\Desktop\nextjs-social-app\src\layout\DraftPost.tsx                                                                | TypeScript JSX     |         63 |          0 |          4 |         67 |
| c:\Users\antho\Desktop\nextjs-social-app\src\layout\DraftReply.tsx                                                               | TypeScript JSX     |         53 |          0 |          6 |         59 |
| c:\Users\antho\Desktop\nextjs-social-app\src\layout\Footer.tsx                                                                   | TypeScript JSX     |         31 |          1 |          4 |         36 |
| c:\Users\antho\Desktop\nextjs-social-app\src\layout\Header.tsx                                                                   | TypeScript JSX     |        102 |          0 |          6 |        108 |
| c:\Users\antho\Desktop\nextjs-social-app\src\layout\Landing.tsx                                                                  | TypeScript JSX     |         30 |          0 |          4 |         34 |
| c:\Users\antho\Desktop\nextjs-social-app\src\layout\LeftNav.tsx                                                                  | TypeScript JSX     |         79 |          0 |          6 |         85 |
| c:\Users\antho\Desktop\nextjs-social-app\src\layout\Login.tsx                                                                    | TypeScript JSX     |         49 |          0 |          4 |         53 |
| c:\Users\antho\Desktop\nextjs-social-app\src\layout\Post.tsx                                                                     | TypeScript JSX     |         99 |          0 |         12 |        111 |
| c:\Users\antho\Desktop\nextjs-social-app\src\layout\PostDetail.tsx                                                               | TypeScript JSX     |        102 |          0 |         13 |        115 |
| c:\Users\antho\Desktop\nextjs-social-app\src\layout\Profile.tsx                                                                  | TypeScript JSX     |         94 |          0 |          7 |        101 |
| c:\Users\antho\Desktop\nextjs-social-app\src\layout\ProfileSkeleton.tsx                                                          | TypeScript JSX     |         60 |          0 |          4 |         64 |
| c:\Users\antho\Desktop\nextjs-social-app\src\layout\ShortVideo.tsx                                                               | TypeScript JSX     |        222 |          1 |         27 |        250 |
| c:\Users\antho\Desktop\nextjs-social-app\src\layout\Sidebar.tsx                                                                  | TypeScript JSX     |         12 |          0 |          4 |         16 |
| c:\Users\antho\Desktop\nextjs-social-app\src\layout\Timeline.tsx                                                                 | TypeScript JSX     |         20 |          0 |          3 |         23 |
| c:\Users\antho\Desktop\nextjs-social-app\src\layout\VideoSidebar.tsx                                                             | TypeScript JSX     |         27 |          0 |          5 |         32 |
| c:\Users\antho\Desktop\nextjs-social-app\src\layout\VideoSlide.tsx                                                               | TypeScript JSX     |         25 |          0 |          4 |         29 |
| c:\Users\antho\Desktop\nextjs-social-app\src\lib\ApolloClient.ts                                                                 | TypeScript         |         23 |          3 |          4 |         30 |
| c:\Users\antho\Desktop\nextjs-social-app\src\lib\ApolloWrapper.tsx                                                               | TypeScript JSX     |         33 |         14 |          5 |         52 |
| c:\Users\antho\Desktop\nextjs-social-app\src\lib\Notification.ts                                                                 | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\antho\Desktop\nextjs-social-app\src\lib\OneTapComponent.tsx                                                             | TypeScript JSX     |         11 |          0 |          6 |         17 |
| c:\Users\antho\Desktop\nextjs-social-app\src\lib\SessionProvider.tsx                                                             | TypeScript JSX     |          3 |          0 |          3 |          6 |
| c:\Users\antho\Desktop\nextjs-social-app\src\mockdata.ts                                                                         | TypeScript         |         67 |          0 |          5 |         72 |
| c:\Users\antho\Desktop\nextjs-social-app\src\prisma\database.ts                                                                  | TypeScript         |         11 |          1 |          6 |         18 |
| c:\Users\antho\Desktop\nextjs-social-app\src\prisma\migrations\20230918010756_init\migration.sql                                 | SQL                |         87 |         30 |         37 |        154 |
| c:\Users\antho\Desktop\nextjs-social-app\src\prisma\migrations\20231104030831_adding_user_account_post_and_session\migration.sql | SQL                |         58 |         33 |         29 |        120 |
| c:\Users\antho\Desktop\nextjs-social-app\src\prisma\migrations\20231106194742_change_structure\migration.sql                     | SQL                |         68 |         39 |         33 |        140 |
| c:\Users\antho\Desktop\nextjs-social-app\src\prisma\migrations\20231106205826_\migration.sql                                     | SQL                |         28 |         25 |         17 |         70 |
| c:\Users\antho\Desktop\nextjs-social-app\src\prisma\pothos-types.ts                                                              | TypeScript         |        417 |          1 |          0 |        418 |
| c:\Users\antho\Desktop\nextjs-social-app\src\prisma\schema.prisma                                                                | Prisma             |        197 |          2 |         35 |        234 |
| c:\Users\antho\Desktop\nextjs-social-app\src\prisma\seed.ts                                                                      | TypeScript         |          0 |         21 |          5 |         26 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\abstracts\_breakpoints.scss                                             | SCSS               |          8 |          0 |          1 |          9 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\abstracts\_color.scss                                                   | SCSS               |         34 |          0 |          3 |         37 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\abstracts\_fonts.scss                                                   | SCSS               |          3 |          0 |          3 |          6 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\abstracts\_mixins.scss                                                  | SCSS               |         31 |          0 |          2 |         33 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\abstracts\_varibles.scss                                                | SCSS               |          8 |          7 |          6 |         21 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\base\_reset.scss                                                        | SCSS               |         53 |          1 |          9 |         63 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\base\_typography.scss                                                   | SCSS               |         27 |          0 |          9 |         36 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\components\Avatar.module.scss                                           | SCSS               |          3 |          0 |          1 |          4 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\components\Button.module.scss                                           | SCSS               |          9 |          0 |          3 |         12 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\components\Card.module.scss                                             | SCSS               |         13 |          0 |          2 |         15 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\components\ChatTab.module.scss                                          | SCSS               |         18 |          0 |          3 |         21 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\components\Chip.module.scss                                             | SCSS               |         38 |          0 |          9 |         47 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\components\Comment.module.scss                                          | SCSS               |         31 |          0 |          9 |         40 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\components\Divider.module.scss                                          | SCSS               |         13 |          0 |          2 |         15 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\components\ErrorUI.module.scss                                          | SCSS               |          9 |          0 |          2 |         11 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\components\Image.module.scss                                            | SCSS               |          9 |          1 |          2 |         12 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\components\ListItem.module.scss                                         | SCSS               |         38 |          0 |          9 |         47 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\components\LoadingUI.module.scss                                        | SCSS               |         60 |          0 |          3 |         63 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\components\Modal.module.scss                                            | SCSS               |         52 |          0 |          9 |         61 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\components\PostAction.module.scss                                       | SCSS               |          5 |          0 |          1 |          6 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\components\PostActionButton.module.scss                                 | SCSS               |         18 |          0 |          4 |         22 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\components\Searchbar.module.scss                                        | SCSS               |         22 |          0 |          4 |         26 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\components\Tab.module.scss                                              | SCSS               |          3 |          0 |          1 |          4 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\components\TextField.module.scss                                        | SCSS               |          7 |          0 |          1 |          8 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\components\Video.module.scss                                            | SCSS               |          9 |          0 |          3 |         12 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\components\VideoControls.module.scss                                    | SCSS               |         46 |          0 |         10 |         56 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\globals.scss                                                            | SCSS               |         67 |          1 |         12 |         80 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\ChatBubble.module.scss                                           | SCSS               |         25 |          0 |          4 |         29 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\ChatDetail.module.scss                                           | SCSS               |         45 |          0 |          9 |         54 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\ChatList.module.scss                                             | SCSS               |         19 |          3 |          6 |         28 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\Draft.module.scss                                                | SCSS               |         59 |          0 |         13 |         72 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\Dropdown.module.scss                                             | SCSS               |         14 |          0 |          2 |         16 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\Footer.module.scss                                               | SCSS               |         15 |          0 |          4 |         19 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\Header.module.scss                                               | SCSS               |         53 |          0 |         10 |         63 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\Landing.module.scss                                              | SCSS               |         32 |          0 |          7 |         39 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\LeftNav.module.scss                                              | SCSS               |          3 |          0 |          1 |          4 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\Login.module.scss                                                | SCSS               |         26 |          0 |          6 |         32 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\OneTap.module.scss                                               | SCSS               |          6 |          0 |          1 |          7 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\Post.module.scss                                                 | SCSS               |         52 |          0 |         11 |         63 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\PostDetail.module.scss                                           | SCSS               |         54 |          0 |         11 |         65 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\Profile.module.scss                                              | SCSS               |        119 |          0 |         22 |        141 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\ShortVideo.module.scss                                           | SCSS               |         80 |          0 |         17 |         97 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\Sidebar.module.scss                                              | SCSS               |         10 |          0 |          2 |         12 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\Timeline.module.scss                                             | SCSS               |         22 |          0 |          5 |         27 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\VideoSidebar.module.scss                                         | SCSS               |         24 |          0 |          6 |         30 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\VideoSlide.module.scss                                           | SCSS               |         25 |          0 |          3 |         28 |
| c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\themes\_theme.scss                                                      | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\antho\Desktop\nextjs-social-app\src\utils\getAllPublishedPosts.ts                                                       | TypeScript         |         33 |          0 |          3 |         36 |
| c:\Users\antho\Desktop\nextjs-social-app\src\utils\getFormattedJoinedDate.ts                                                     | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Users\antho\Desktop\nextjs-social-app\src\utils\getMyMoments.ts                                                               | TypeScript         |         34 |          0 |          5 |         39 |
| c:\Users\antho\Desktop\nextjs-social-app\src\utils\getMyNotifications.ts                                                         | TypeScript         |         22 |          0 |          6 |         28 |
| c:\Users\antho\Desktop\nextjs-social-app\src\utils\getMyProfile.ts                                                               | TypeScript         |         45 |          0 |          6 |         51 |
| c:\Users\antho\Desktop\nextjs-social-app\src\utils\getMyTimeline.ts                                                              | TypeScript         |         36 |          0 |          6 |         42 |
| c:\Users\antho\Desktop\nextjs-social-app\src\utils\getPostDetail.ts                                                              | TypeScript         |         37 |          0 |          6 |         43 |
| c:\Users\antho\Desktop\nextjs-social-app\src\utils\getRandomFacts.ts                                                             | TypeScript         |         13 |          0 |          3 |         16 |
| c:\Users\antho\Desktop\nextjs-social-app\src\utils\getUserProfile.ts                                                             | TypeScript         |         42 |          0 |          6 |         48 |
| c:\Users\antho\Desktop\nextjs-social-app\src\utils\getUserTimeline.ts                                                            | TypeScript         |         36 |          0 |          7 |         43 |
| c:\Users\antho\Desktop\nextjs-social-app\tsconfig.json                                                                           | JSON with Comments |         27 |          0 |          1 |         28 |
| Total                                                                                                                            |                    |     11,400 |        272 |      1,217 |     12,889 |
+----------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
